beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,0.5,0.5344374999999999,0.0024996044608972634
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,0.5,0.53221875,0.0025115929935469986
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,0.5,0.5323125,0.002506587999340438
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,0.5,0.5323749999999999,0.0025101162510429665
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,0.5,0.5323125,0.002510869923639514
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,0.5,0.53246875,0.0025132449435907307
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,0.5,0.5323437500000001,0.0025101053089680073
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,0.5,0.5323437500000001,0.0025163224479603907
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,0.5,0.53225,0.002507722447760118
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,0.5,0.5349999999999999,0.0029872777113954425
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,0.5,0.5350625000000001,0.0029813834810264676
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,0.5,0.5283749999999999,0.002746997650845373
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,0.5,0.5284375000000001,0.0027433112903820257
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,0.5,0.5282187500000001,0.0027387364769605655
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,0.5,0.52846875,0.0027435993961371936
8.0,0.0,0.0,1.0,0.0,0.3,0.01,1.0,0.5283125,0.0027360753641735634
8.0,0.0,1.0,0.0,0.0,0.3,0.01,1.0,0.5282187500000001,0.0027362393198027057
8.0,1.0,0.0,0.0,0.0,0.3,0.01,1.0,0.5284375,0.0027383230426553944
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,1.0,0.5284062500000001,0.002729816512764067
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,1.0,0.5342499999999999,0.0025117691723165964
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,1.0,0.5345312499999999,0.0025236370373895637
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,1.0,0.53215625,0.002650774457514138
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,1.0,0.53215625,0.002650774457514138
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,1.0,0.53215625,0.002650774457514138
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,1.0,0.532125,0.0026489052868590825
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,1.0,0.5320625,0.0026620845846699725
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,1.0,0.5322812499999999,0.0026405221411179977
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,1.0,0.532125,0.0026489052868590825
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,1.0,0.5320937499999999,0.002668344478484623
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,1.0,0.5325625,0.0026427921949970824
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,1.0,0.532625,0.0026461019384653338
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,1.0,0.53284375,0.0026782624217222203
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,1.0,0.5325625,0.002658266697669272
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,1.0,0.532625,0.0026545766788228214
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,1.0,0.5324687499999999,0.0026593720163761167
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,1.0,0.5324375,0.002655693875607183
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,1.0,0.5325,0.0026534912144192224
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,1.0,0.53234375,0.002512438538971526
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,1.0,0.5322812499999999,0.002507351252364609
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,1.0,0.5324375,0.0024964770098956446
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,1.0,0.5322812499999999,0.002519008545585817
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,1.0,0.5325312500000001,0.002492174030136012
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,1.0,0.5325000000000001,0.0024902152266420663
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,1.0,0.53228125,0.0025178452449931017
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,1.0,0.532375,0.0025128381302324263
8.0,0.0,0.0,1.0,0.0,0.3,0.01,2.5,0.53259375,0.0025147890206455433
8.0,1.0,0.0,0.0,0.0,0.3,0.01,2.5,0.53225,0.0025259589763097887
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,2.5,0.52878125,0.0029384130479281454
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,2.5,0.52878125,0.0029120395542015522
8.0,0.0,1.0,0.0,0.0,0.3,0.01,2.5,0.5276875000000001,0.00271852998391364
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,2.5,0.52809375,0.002721037785636093
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,2.5,0.5289375,0.0029129249622909096
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,2.5,0.52890625,0.002914025845949101
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,2.5,0.52878125,0.0029120395542015522
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,2.5,0.529,0.002929110359819172
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,2.5,0.52878125,0.0029394099093584024
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,2.5,0.5287812500000001,0.002903643614535774
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,2.5,0.532125,0.0027094128457564376
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,2.5,0.5321562500000001,0.002751640801341878
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,2.5,0.53203125,0.0027089611401761326
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,2.5,0.5318125,0.0027219763543127073
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,2.5,0.53184375,0.0027270426242743937
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,2.5,0.5320937499999999,0.0027362839318790314
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,2.5,0.53215625,0.002719871131985736
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,2.5,0.53221875,0.0027378092273265446
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,2.5,0.5319687500000001,0.002657204561938048
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,2.5,0.53203125,0.0026620513394719444
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,2.5,0.5349999999999999,0.0028872023656127737
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,2.5,0.5354062500000001,0.0028939497349400128
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,2.5,0.53503125,0.002927675350680873
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,2.5,0.5349999999999999,0.0029261749776799055
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,2.5,0.5349999999999999,0.0028926091163515326
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,2.5,0.5351874999999999,0.0029110804950116882
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,2.5,0.53503125,0.0029273417692480615
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,2.5,0.5354062500000001,0.0029094310128200958
8.0,0.0,1.0,0.0,0.0,0.3,0.01,4.0,0.533875,0.002927159325822562
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,4.0,0.5329062499999999,0.002910605565146087
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,4.0,0.5332812499999999,0.002896673359689417
8.0,0.0,0.0,1.0,0.0,0.3,0.01,4.0,0.5325,0.00266487570066598
8.0,1.0,0.0,0.0,0.0,0.3,0.01,4.0,0.5324687499999999,0.0026531220093475483
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,4.0,0.53296875,0.0029152404204429478
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,4.0,0.532875,0.0029173343729764676
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,4.0,0.532875,0.0029173343729764676
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,4.0,0.53290625,0.002914964044522569
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,4.0,0.53315625,0.002901582904142043
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,4.0,0.53459375,0.0030799794144375984
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,4.0,0.5351250000000001,0.0030932606936289737
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,4.0,0.53440625,0.003087389887649335
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,4.0,0.53453125,0.003051893903215571
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,4.0,0.53453125,0.0030805580089464917
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,4.0,0.53453125,0.003089105375587627
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,4.0,0.534625,0.0030562915385725226
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,4.0,0.5345,0.0030520228947371933
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,4.0,0.53253125,0.0025256484605907393
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,4.0,0.532875,0.0025068460949467953
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,4.0,0.5355624999999999,0.0027257408324962767
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,4.0,0.5348125,0.0027264214684156038
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,4.0,0.534875,0.002731811298159153
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,4.0,0.5351874999999999,0.002733575776055512
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,4.0,0.53471875,0.0027621347591553842
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,4.0,0.53575,0.002749715894415275
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,4.0,0.535,0.0027246702782171635
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,4.0,0.53465625,0.002732230185601018
8.0,0.0,0.0,1.0,0.0,0.3,0.01,5.5,0.5290312500000001,0.002765756308676593
8.0,1.0,0.0,0.0,0.0,0.3,0.01,5.5,0.52890625,0.002793222781279605
8.0,0.0,1.0,0.0,0.0,0.3,0.01,5.5,0.52871875,0.0028021500098557132
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,5.5,0.5291875,0.0027782243022185043
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,5.5,0.5290625,0.002800734941214091
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,4.0,0.529,0.0028996228202992193
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,4.0,0.528875,0.0029127782860612645
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,5.5,0.52909375,0.002770827336890441
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,5.5,0.52915625,0.0027800987346872
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,5.5,0.52915625,0.0027786933034448713
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,5.5,0.5406875,0.002843058810231948
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,5.5,0.54121875,0.0028571958482460336
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,5.5,0.54153125,0.0028627445566247038
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,5.5,0.54121875,0.0028571958482460336
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,5.5,0.54096875,0.0028632562029941317
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,5.5,0.5414687499999999,0.002867380145094886
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,5.5,0.54184375,0.0028472237968957355
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,5.5,0.5417187499999999,0.002834306736705534
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,5.5,0.53240625,0.002718560293309562
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,5.5,0.53203125,0.002753299467726744
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,5.5,0.5299375,0.0031957575331895095
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,5.5,0.52984375,0.0031909974302103995
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,5.5,0.53009375,0.0032426213941592645
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,5.5,0.53034375,0.0031792546158037373
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,5.5,0.53009375,0.0031756741025897746
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,5.5,0.5304375,0.0031694918695174936
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,5.5,0.5304062500000001,0.0031387111317162293
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,5.5,0.5298437500000001,0.003192833122731185
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,5.5,0.53296875,0.002802864353475632
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,5.5,0.53290625,0.0027903544364218987
8.0,0.0,0.0,1.0,0.0,0.3,0.01,7.0,0.5335,0.002796412322065542
8.0,1.0,0.0,0.0,0.0,0.3,0.01,7.0,0.5324375,0.0028017110773485366
8.0,0.0,1.0,0.0,0.0,0.3,0.01,7.0,0.53328125,0.002873996725421651
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,5.5,0.53509375,0.002916303804623135
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,5.5,0.53515625,0.002950576570707727
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,7.0,0.53353125,0.0027791765005994802
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,7.0,0.5326875000000001,0.0027908498299689106
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,7.0,0.5334687499999999,0.002778614226819616
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,7.0,0.53325,0.002741535267874553
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,7.0,0.5332812499999999,0.0027404118627925933
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,7.0,0.5336562499999999,0.0027424334380453746
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,7.0,0.533875,0.0027346696269842175
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,7.0,0.533875,0.0027300233229315086
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,7.0,0.533625,0.002709557015224074
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,7.0,0.5335,0.0027346160608026854
