beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.4703928315942538,0.0,0.5296071684057462,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.9157047706560335,0.0,0.0842952293439665,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.8838995087800127,0.0,0.11610049121998733,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.14280779250468734,0.0,0.8571922074953127,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.8102916596294973,0.0,0.18970834037050266,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.9149816351189674,0.0,0.08501836488103265,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.0,0.08384698438238303,0.916153015617617,0.0,0.3,0.01,0.0,0.537875,0.003033198471704414
8.0,0.0,0.41646916799602574,0.5835308320039743,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.0,0.43176326659516007,0.5682367334048399,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.0,0.7467031646886384,0.2532968353113616,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.32197392552356763,0.6780260744764324,0.0,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.2373870833743308,0.7626129166256692,0.0,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.769502790788795,0.23049720921120498,0.0,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.9395210394540262,0.06047896054597379,0.0,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.0,0.7048996241705012,0.2951003758294988,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
