,daw_bar,stick,kastner_csc,prop_MB,prop_MF,mf_gt_mb
0,unrew_rare,1,1b1,0.04505527638190955,0.037095477386934674,False
1,unrew_rare,1,2a2,0.038924623115577886,0.03492462311557789,False
2,unrew_rare,0,1b2,0.02642211055276382,0.032904522613065326,True
3,unrew_rare,0,2a1,0.025206030150753768,0.02935678391959799,True
4,unrew_common,1,1a1,0.07515577889447236,0.08141708542713567,True
5,unrew_common,1,2b2,0.06825125628140703,0.07989949748743719,True
6,unrew_common,0,2b1,0.07922613065326634,0.0710251256281407,False
7,unrew_common,0,1a2,0.07648241206030151,0.06773869346733669,False
8,rew_rare,1,1B1,0.040623115577889446,0.058653266331658294,True
9,rew_rare,1,2A2,0.03888442211055276,0.05672361809045226,True
10,rew_rare,0,2A1,0.04315577889447236,0.025547738693467336,False
11,rew_rare,0,1B2,0.04063316582914573,0.024120603015075376,False
12,rew_common,1,1A1,0.13186934673366835,0.15060301507537688,True
13,rew_common,1,2B2,0.11311557788944723,0.1371959798994975,True
14,rew_common,0,1A2,0.08033165829145729,0.05694472361809045,False
15,rew_common,0,2B1,0.07666331658291457,0.05584924623115578,False
